missed packet number, sample offset, latency (ms), sample
-69950, 2759, 2.759, 1111 1110 1111 1110
-69950, 3415, 3.415, 1111 1110 0111 1110
-69950, 3601, 3.601, 1111 1110 1111 1110
-70534, 0, 0.0, 1111 1110 1111 1110
-70534, 1, 0.001, 1000 0001 1000 0001
-70534, 21, 0.021, 1000 0001 0000 0001
-70534, 81, 0.081, 1111 1110 0111 1110
-70534, 412, 0.412, 1111 1110 1111 1110
-70534, 789, 0.789, 1111 1110 0111 1110
-70534, 1544, 1.544, 1111 1110 1111 1110
-70534, 1886, 1.886, 1111 1110 0111 1110
-70534, 2684, 2.684, 1111 1110 1111 1110
-70534, 2866, 2.866, 1111 1110 0111 1110
-70534, 3560, 3.56, 1111 1110 1111 1110
-70534, 3749, 3.749, 1111 1110 0111 1110
-70535, 0, 0.0, 1111 1110 0111 1110
-70535, 1, 0.001, 1000 0001 0000 0001
-70535, 20, 0.02, 1000 0001 1000 0001
-70535, 68, 0.068, 1111 1110 1111 1110
-70535, 375, 0.375, 1111 1110 0111 1110
-70535, 722, 0.722, 1111 1110 1111 1110
-70535, 1458, 1.458, 1111 1110 0111 1110
-70535, 1698, 1.698, 1111 1110 1111 1110
-70535, 2312, 2.312, 1111 1110 0111 1110
-70535, 2515, 2.515, 1111 1110 1111 1110
-70535, 3170, 3.17, 1111 1110 0111 1110
-70535, 3321, 3.321, 1111 1110 1111 1110
-70535, 3797, 3.797, 1111 1110 0111 1110
-70535, 4097, 4.097, 1000 0001 0000 0001
-70535, 4116, 4.116, 1000 0001 1000 0001
-70535, 4130, 4.13, 1111 1110 1111 1110
-72052, 0, 0.0, 0111 1110 1111 1110
-72052, 1, 0.001, 0000 0001 1000 0001
-72052, 21, 0.021, 0000 0001 0000 0001
-72052, 61, 0.061, 0111 1110 0111 1110
-72052, 315, 0.315, 0111 1110 1111 1110
-72052, 656, 0.656, 0111 1110 0111 1110
-72052, 1412, 1.412, 0111 1110 1111 1110
-72052, 1758, 1.758, 0111 1110 0111 1110
-72052, 2440, 2.44, 0111 1110 1111 1110
-72052, 2658, 2.658, 0111 1110 0111 1110
-72052, 3380, 3.38, 0111 1110 1111 1110
-72052, 3552, 3.552, 0111 1110 0111 1110
-72052, 4096, 4.096, 0111 1110 1111 1110
-72052, 4097, 4.097, 0000 0001 1000 0001
-72052, 4117, 4.117, 0000 0001 0000 0001
-72052, 4157, 4.157, 0111 1110 0111 1110
-73533, 0, 0.0, 0111 1110 0111 1110
-73533, 1, 0.001, 0000 0001 0000 0001
-73533, 21, 0.021, 0000 0001 1000 0001
-73533, 106, 0.106, 0111 1110 1111 1110
-73533, 337, 0.337, 0111 1110 0111 1110
-73533, 674, 0.674, 0111 1110 1111 1110
-73533, 1404, 1.404, 0111 1110 0111 1110
-73533, 1688, 1.688, 0111 1110 1111 1110
-73533, 2403, 2.403, 0111 1110 0111 1110
-73533, 2645, 2.645, 0111 1110 1111 1110
-73533, 3402, 3.402, 0111 1110 0111 1110
-73533, 3593, 3.593, 0111 1110 1111 1110
-79066, 0, 0.0, 0111 1110 1111 1110
-79066, 1, 0.001, 0000 0001 1000 0001
-79066, 21, 0.021, 0000 0001 0000 0001
-79066, 67, 0.067, 0111 1110 0111 1110
-79066, 334, 0.334, 0111 1110 1111 1110
-79066, 744, 0.744, 0111 1110 0111 1110
-79066, 1808, 1.808, 0111 1110 1111 1110
-79066, 2090, 2.09, 0111 1110 0111 1110
-79066, 3198, 3.198, 0111 1110 1111 1110
-79066, 3362, 3.362, 0111 1110 0111 1110
-79066, 4155, 4.155, 0000 0001 0000 0001
-79066, 4163, 4.163, 0111 1110 0111 1110
-79440, 0, 0.0, 0111 1110 1111 1110
-79440, 1, 0.001, 0000 0001 1000 0001
-79440, 21, 0.021, 0000 0001 0000 0001
-79440, 90, 0.09, 0111 1110 0111 1110
-79440, 319, 0.319, 0111 1110 1111 1110
-79440, 628, 0.628, 0111 1110 0111 1110
-79440, 1220, 1.22, 0111 1110 1111 1110
-79440, 1473, 1.473, 0111 1110 0111 1110
-79440, 2133, 2.133, 0111 1110 1111 1110
-79440, 2348, 2.348, 0111 1110 0111 1110
-79440, 3037, 3.037, 0111 1110 1111 1110
-79440, 3227, 3.227, 0111 1110 0111 1110
-79440, 3753, 3.753, 0111 1110 1111 1110
-79440, 4097, 4.097, 0000 0001 1000 0001
-79440, 4102, 4.102, 0111 1110 0111 1110
-84464, 0, 0.0, 0111 1110 0111 1110
-84464, 1, 0.001, 0000 0001 0000 0001
-84464, 21, 0.021, 0000 0001 1000 0001
-84464, 64, 0.064, 0111 1110 1111 1110
-84464, 333, 0.333, 0111 1110 0111 1110
-84464, 754, 0.754, 0111 1110 1111 1110
-84464, 1467, 1.467, 0111 1110 0111 1110
-84464, 1798, 1.798, 0111 1110 1111 1110
-84464, 2655, 2.655, 0111 1110 0111 1110
-84464, 2876, 2.876, 0111 1110 1111 1110
-84464, 3711, 3.711, 0111 1110 0111 1110
-84464, 3935, 3.935, 0111 1110 1111 1110
-87965, 0, 0.0, 0111 1110 1111 1110
-87965, 1, 0.001, 0000 0001 1000 0001
-87965, 20, 0.02, 0000 0001 0000 0001
-87965, 153, 0.153, 0111 1110 0111 1110
-87965, 482, 0.482, 0111 1110 1111 1110
-87965, 828, 0.828, 0111 1110 0111 1110
-87965, 1523, 1.523, 0111 1110 1111 1110
-87965, 1769, 1.769, 0111 1110 0111 1110
-87965, 2477, 2.477, 0111 1110 1111 1110
-87965, 2659, 2.659, 0111 1110 0111 1110
-87965, 3370, 3.37, 0111 1110 1111 1110
-87965, 3522, 3.522, 0111 1110 0111 1110
-87965, 4035, 4.035, 0111 1110 1111 1110
-87965, 4097, 4.097, 0000 0001 1000 0001
-87965, 4116, 4.116, 0000 0001 0000 0001
-87965, 4249, 4.249, 0111 1110 0111 1110
-91296, 0, 0.0, 0111 1110 0111 1110
-91296, 1, 0.001, 0000 0001 0000 0001
-91296, 21, 0.021, 0000 0001 1000 0001
-91296, 113, 0.113, 0111 1110 1111 1110
-91296, 476, 0.476, 0111 1110 0111 1110
-91296, 913, 0.913, 0111 1110 1111 1110
-91296, 1714, 1.714, 0111 1110 0111 1110
-91296, 1991, 1.991, 0111 1110 1111 1110
-91296, 3021, 3.021, 0111 1110 0111 1110
-91296, 3182, 3.182, 0111 1110 1111 1110
-91296, 3863, 3.863, 0111 1110 0111 1110
-91296, 4097, 4.097, 0000 0001 0000 0001
-91296, 4117, 4.117, 0000 0001 1000 0001
-91296, 4159, 4.159, 0111 1110 1111 1110
-91296, 711095, 711.095, 0000 0000 0000 0000
-91296, 715191, 715.191, 0111 1110 1111 1110
-94360, 0, 0.0, 0111 1110 0111 1110
-94360, 1, 0.001, 0000 0001 0000 0001
-94360, 21, 0.021, 0000 0001 1000 0001
-94360, 76, 0.076, 0111 1110 1111 1110
-94360, 305, 0.305, 0111 1110 0111 1110
-94360, 626, 0.626, 0111 1110 1111 1110
-94360, 1224, 1.224, 0111 1110 0111 1110
-94360, 1501, 1.501, 0111 1110 1111 1110
-94360, 2134, 2.134, 0111 1110 0111 1110
-94360, 2349, 2.349, 0111 1110 1111 1110
-94360, 3041, 3.041, 0111 1110 0111 1110
-94360, 3223, 3.223, 0111 1110 1111 1110
-94360, 3804, 3.804, 0111 1110 0111 1110
-94360, 4097, 4.097, 0000 0001 0000 0001
-94360, 4117, 4.117, 0000 0001 1000 0001
-94360, 4172, 4.172, 0111 1110 1111 1110
