missed packet number, sample offset, latency (ms), sample
-554, 3607, 3.607, 0111 1110 0111 1110
-556, 0, 0.0, 1111 1110 0111 1110
-556, 1, 0.001, 1000 0001 0000 0001
-556, 20, 0.02, 1000 0001 1000 0001
-556, 90, 0.09, 1111 1110 1111 1110
-556, 441, 0.441, 1111 1110 0111 1110
-556, 815, 0.815, 1111 1110 1111 1110
-556, 1801, 1.801, 1111 1110 0111 1110
-556, 2059, 2.059, 1111 1110 1111 1110
-556, 2671, 2.671, 1111 1110 0111 1110
-556, 2847, 2.847, 1111 1110 1111 1110
-556, 3552, 3.552, 1111 1110 0111 1110
-556, 3740, 3.74, 1111 1110 1111 1110
-559, 0, 0.0, 1111 1110 1111 1110
-559, 1, 0.001, 1000 0001 1000 0001
-559, 20, 0.02, 1000 0001 0000 0001
-559, 65, 0.065, 1111 1110 0111 1110
-559, 343, 0.343, 1111 1110 1111 1110
-559, 674, 0.674, 1111 1110 0111 1110
-559, 1346, 1.346, 1111 1110 1111 1110
-559, 1658, 1.658, 1111 1110 0111 1110
-559, 2391, 2.391, 1111 1110 1111 1110
-559, 2615, 2.615, 1111 1110 0111 1110
-559, 3354, 3.354, 1111 1110 1111 1110
-559, 3516, 3.516, 1111 1110 0111 1110
-559, 4015, 4.015, 1111 1110 1111 1110
