missed packet number, sample offset, latency (ms), sample
-87069, 1, 0.001, 0000 0001 1000 0001
-87069, 20, 0.02, 0000 0001 0000 0001
-87069, 98, 0.098, 0111 1110 0111 1110
-87069, 389, 0.389, 0111 1110 1111 1110
-87069, 693, 0.693, 0111 1110 0111 1110
-87069, 1434, 1.434, 0111 1110 1111 1110
-87069, 1704, 1.704, 0111 1110 0111 1110
-87069, 2516, 2.516, 0111 1110 1111 1110
-87069, 2723, 2.723, 0111 1110 0111 1110
-87069, 3561, 3.561, 0111 1110 1111 1110
-87069, 3728, 3.728, 0111 1110 0111 1110
-87069, 18430, 18.43, 0000 0000 0000 0000
-87069, 22526, 22.526, 0111 1110 0111 1110
-87069, 1079917, 1079.917, 0000 0000 0000 0000
-87069, 1084013, 1084.013, 0111 1110 0111 1110
-87070, 0, 0.0, 0000 0001 0000 0001
-87070, 19, 0.019, 0000 0001 1000 0001
-87070, 121, 0.121, 0111 1110 1111 1110
-87070, 836, 0.836, 0111 1110 0111 1110
-87070, 1144, 1.144, 0111 1110 1111 1110
-87070, 1976, 1.976, 0111 1110 0111 1110
-87070, 2256, 2.256, 0111 1110 1111 1110
-87070, 3107, 3.107, 0111 1110 0111 1110
-87070, 3298, 3.298, 0111 1110 1111 1110
-87070, 3991, 3.991, 0111 1110 0111 1110
-87070, 4096, 4.096, 0000 0001 0000 0001
-87070, 4115, 4.115, 0000 0001 1000 0001
-87070, 4217, 4.217, 0111 1110 1111 1110
-87071, 0, 0.0, 0111 1110 1111 1110
-87071, 1, 0.001, 0000 0001 1000 0001
-87071, 19, 0.019, 0000 0001 0000 0001
-87071, 123, 0.123, 0111 1110 0111 1110
-87071, 476, 0.476, 0111 1110 1111 1110
-87071, 822, 0.822, 0111 1110 0111 1110
-87071, 1680, 1.68, 0111 1110 1111 1110
-87071, 1955, 1.955, 0111 1110 0111 1110
-87071, 2797, 2.797, 0111 1110 1111 1110
-87071, 3057, 3.057, 0111 1110 0111 1110
-87071, 3792, 3.792, 0111 1110 1111 1110
-87071, 4097, 4.097, 0000 0001 1000 0001
-87071, 4115, 4.115, 0000 0001 0000 0001
-87071, 4154, 4.154, 0111 1110 0111 1110
-87072, 0, 0.0, 0111 1110 0111 1110
-87072, 1, 0.001, 0000 0001 0000 0001
-87072, 19, 0.019, 0000 0001 1000 0001
-87072, 144, 0.144, 0111 1110 1111 1110
-87072, 501, 0.501, 0111 1110 0111 1110
-87072, 826, 0.826, 0111 1110 1111 1110
-87072, 2829, 2.829, 0111 1110 0111 1110
-87072, 3063, 3.063, 0111 1110 1111 1110
-87072, 3821, 3.821, 0111 1110 0111 1110
-87072, 4097, 4.097, 0000 0001 0000 0001
-87072, 4115, 4.115, 0000 0001 1000 0001
-87072, 4240, 4.24, 0111 1110 1111 1110
-87072, 113449, 113.449, 0000 0000 0000 0000
-87072, 117545, 117.545, 0111 1110 1111 1110
-87073, 0, 0.0, 0111 1110 1111 1110
-87073, 1, 0.001, 0000 0001 1000 0001
-87073, 20, 0.02, 0000 0001 0000 0001
-87073, 102, 0.102, 0111 1110 0111 1110
-87073, 445, 0.445, 0111 1110 1111 1110
-87073, 794, 0.794, 0111 1110 0111 1110
-87073, 1515, 1.515, 0111 1110 1111 1110
-87073, 1776, 1.776, 0111 1110 0111 1110
-87073, 2490, 2.49, 0111 1110 1111 1110
-87073, 2732, 2.732, 0111 1110 0111 1110
-87073, 3548, 3.548, 0111 1110 1111 1110
-87073, 3726, 3.726, 0111 1110 0111 1110
-87074, 0, 0.0, 0111 1110 0111 1110
-87074, 1, 0.001, 0000 0001 0000 0001
-87074, 20, 0.02, 0000 0001 1000 0001
-87074, 125, 0.125, 0111 1110 1111 1110
-87074, 533, 0.533, 0111 1110 0111 1110
-87074, 851, 0.851, 0111 1110 1111 1110
-87074, 1651, 1.651, 0111 1110 0111 1110
-87074, 1937, 1.937, 0111 1110 1111 1110
-87074, 2782, 2.782, 0111 1110 0111 1110
-87074, 3015, 3.015, 0111 1110 1111 1110
-87074, 3666, 3.666, 0111 1110 0111 1110
-87074, 4073, 4.073, 0111 1110 1111 1110
-87075, 0, 0.0, 0111 1110 1111 1110
-87075, 1, 0.001, 0000 0001 1000 0001
-87075, 20, 0.02, 0000 0001 0000 0001
-87075, 99, 0.099, 0111 1110 0111 1110
-87075, 413, 0.413, 0111 1110 1111 1110
-87075, 721, 0.721, 0111 1110 0111 1110
-87075, 1420, 1.42, 0111 1110 1111 1110
-87075, 1676, 1.676, 0111 1110 0111 1110
-87075, 2442, 2.442, 0111 1110 1111 1110
-87075, 2653, 2.653, 0111 1110 0111 1110
-87075, 3453, 3.453, 0111 1110 1111 1110
-87075, 3656, 3.656, 0111 1110 0111 1110
-87076, 0, 0.0, 0000 0001 0000 0001
-87076, 19, 0.019, 0000 0001 1000 0001
-87076, 116, 0.116, 0111 1110 1111 1110
-87076, 471, 0.471, 0111 1110 0111 1110
-87076, 808, 0.808, 0111 1110 1111 1110
-87076, 1587, 1.587, 0111 1110 0111 1110
-87076, 1873, 1.873, 0111 1110 1111 1110
-87076, 2705, 2.705, 0111 1110 0111 1110
-87076, 2933, 2.933, 0111 1110 1111 1110
-87076, 4048, 4.048, 0111 1110 0111 1110
-87076, 4096, 4.096, 0000 0001 0000 0001
-87076, 4115, 4.115, 0000 0001 1000 0001
-87076, 4212, 4.212, 0111 1110 1111 1110
-87077, 0, 0.0, 0111 1110 1111 1110
-87077, 1, 0.001, 0000 0001 1000 0001
-87077, 20, 0.02, 0000 0001 0000 0001
-87077, 110, 0.11, 0111 1110 0111 1110
-87077, 467, 0.467, 0111 1110 1111 1110
-87077, 886, 0.886, 0111 1110 0111 1110
-87077, 1643, 1.643, 0111 1110 1111 1110
-87077, 1937, 1.937, 0111 1110 0111 1110
-87077, 2688, 2.688, 0111 1110 1111 1110
-87077, 2909, 2.909, 0111 1110 0111 1110
-87077, 3625, 3.625, 0111 1110 1111 1110
-87077, 3875, 3.875, 0111 1110 0111 1110
-87077, 917709, 917.709, 0000 0000 0000 0000
-87077, 921805, 921.805, 0111 1110 0111 1110
-87078, 0, 0.0, 0000 0001 0000 0001
-87078, 19, 0.019, 0000 0001 1000 0001
-87078, 121, 0.121, 0111 1110 1111 1110
-87078, 514, 0.514, 0111 1110 0111 1110
-87078, 515, 0.515, 0111 1110 1111 1110
-87078, 516, 0.516, 0111 1110 0111 1110
-87078, 876, 0.876, 0111 1110 1111 1110
-87078, 1727, 1.727, 0111 1110 0111 1110
-87078, 2003, 2.003, 0111 1110 1111 1110
-87078, 2822, 2.822, 0111 1110 0111 1110
-87078, 3036, 3.036, 0111 1110 1111 1110
-87078, 3788, 3.788, 0111 1110 0111 1110
-87078, 4096, 4.096, 0000 0001 0000 0001
-87078, 4115, 4.115, 0000 0001 1000 0001
-87078, 4181, 4.181, 0111 1110 1111 1110
-87079, 0, 0.0, 0111 1110 1111 1110
-87079, 1, 0.001, 0000 0001 1000 0001
-87079, 20, 0.02, 0000 0001 0000 0001
-87079, 145, 0.145, 0111 1110 0111 1110
-87079, 479, 0.479, 0111 1110 1111 1110
-87079, 835, 0.835, 0111 1110 0111 1110
-87079, 1639, 1.639, 0111 1110 1111 1110
-87079, 1928, 1.928, 0111 1110 0111 1110
-87079, 2802, 2.802, 0111 1110 1111 1110
-87079, 3039, 3.039, 0111 1110 0111 1110
-87079, 3751, 3.751, 0111 1110 1111 1110
-87079, 4097, 4.097, 0000 0001 1000 0001
-87079, 4116, 4.116, 0000 0001 0000 0001
-87079, 4126, 4.126, 0111 1110 0111 1110
-87079, 1086595, 1086.595, 0000 0000 0000 0000
-87079, 1090691, 1090.691, 0111 1110 0111 1110
-87080, 0, 0.0, 0111 1110 0111 1110
-87080, 1, 0.001, 0000 0001 0000 0001
-87080, 19, 0.019, 0000 0001 1000 0001
-87080, 141, 0.141, 0111 1110 1111 1110
-87080, 455, 0.455, 0111 1110 0111 1110
-87080, 823, 0.823, 0111 1110 1111 1110
-87080, 1835, 1.835, 0111 1110 0111 1110
-87080, 2122, 2.122, 0111 1110 1111 1110
-87080, 2965, 2.965, 0111 1110 0111 1110
-87080, 3171, 3.171, 0111 1110 1111 1110
-87080, 3879, 3.879, 0111 1110 0111 1110
-87080, 4097, 4.097, 0000 0001 0000 0001
-87080, 4115, 4.115, 0000 0001 1000 0001
-87080, 4221, 4.221, 0111 1110 1111 1110
