Packet, Sample offset, Latency (ms), [packet_received_bit][packet_created_bit][button_press_mirror_bit]
198, 3433, 3.433, 0111 1110 0111 1110 
198, 34537, 34.537, 0000 0000 0000 0000 
198, 46825, 46.825, 0111 1110 0111 1110 
198, 47737, 47.737, 0000 0000 0000 0000 
198, 55929, 55.929, 1111 1110 0111 1110 
198, 56313, 56.313, 0111 1110 0111 1110 
198, 56566, 56.566, 0000 0000 0000 0000 
199, 0, 0.0, 1111 1110 0111 1110 
199, 1, 0.001, 1000 0001 0000 0001 
199, 20, 0.02, 1000 0001 1000 0001 
199, 219, 0.219, 1111 1110 1111 1110 
199, 852, 0.852, 1111 1110 0111 1110 
199, 4096, 4.096, 0000 0000 0000 0000 
199, 15708, 15.708, 1111 1110 1111 1110 
199, 45615, 45.615, 0000 0000 0000 0000 
199, 49711, 49.711, 1111 1110 1111 1110 
199, 50377, 50.377, 0000 0000 0000 0000 
199, 79049, 79.049, 0111 1110 1111 1110 
199, 79242, 79.242, 0000 0000 0000 0000 
200, 0, 0.0, 0111 1110 1111 1110 
200, 1, 0.001, 0000 0001 1000 0001 
200, 20, 0.02, 0000 0001 0000 0001 
200, 213, 0.213, 0111 1110 0111 1110 
200, 676, 0.676, 0111 1110 1111 1110 
200, 1058, 1.058, 0111 1110 0111 1110 
200, 1984, 1.984, 0111 1110 1111 1110 
200, 2307, 2.307, 0111 1110 0111 1110 
200, 3392, 3.392, 0111 1110 1111 1110 
200, 3695, 3.695, 0111 1110 0111 1110 
200, 26578, 26.578, 0000 0000 0000 0000 
200, 30674, 30.674, 0111 1110 0111 1110 
200, 31534, 31.534, 0000 0000 0000 0000 
200, 39726, 39.726, 0111 1110 0111 1110 
200, 41623, 41.623, 0000 0000 0000 0000 
200, 62103, 62.103, 1111 1110 0111 1110 
200, 66015, 66.015, 0000 0000 0000 0000 
201, 0, 0.0, 1111 1110 0111 1110 
201, 1, 0.001, 1000 0001 0000 0001 
201, 20, 0.02, 1000 0001 1000 0001 
201, 737, 0.737, 1111 1110 1111 1110 
201, 1111, 1.111, 1111 1110 0111 1110 
201, 1442, 1.442, 1111 1110 1111 1110 
201, 2341, 2.341, 1111 1110 0111 1110 
201, 2608, 2.608, 1111 1110 1111 1110 
201, 3473, 3.473, 1111 1110 0111 1110 
201, 3771, 3.771, 1111 1110 1111 1110 
201, 4492, 4.492, 1000 0001 1000 0001 
201, 4806, 4.806, 1111 1110 1111 1110 
201, 9231, 9.231, 0000 0000 0000 0000 
201, 13327, 13.327, 1111 1110 1111 1110 
201, 25190, 25.19, 0000 0000 0000 0000 
201, 29286, 29.286, 1111 1110 1111 1110 
201, 39458, 39.458, 0000 0000 0000 0000 
201, 43554, 43.554, 1111 1110 1111 1110 
201, 46553, 46.553, 0000 0000 0000 0000 
202, 0, 0.0, 0111 1110 0111 1110 
202, 4096, 4.096, 0000 0000 0000 0000 
202, 12271, 12.271, 0111 1110 0111 1110 
202, 12726, 12.726, 0000 0000 0000 0000 
202, 20918, 20.918, 0111 1110 0111 1110 
202, 31859, 31.859, 0000 0000 0000 0000 
202, 35955, 35.955, 0111 1110 0111 1110 
202, 43417, 43.417, 0000 0000 0000 0000 
202, 59801, 59.801, 0111 1110 0111 1110 
202, 60070, 60.07, 0000 0000 0000 0000 
202, 68262, 68.262, 0111 1110 0111 1110 
202, 68939, 68.939, 0000 0000 0000 0000 
202, 89419, 89.419, 0111 1110 0111 1110 
202, 90558, 90.558, 1111 1110 0111 1110 
202, 91934, 91.934, 0000 0000 0000 0000 
203, 0, 0.0, 1111 1110 0111 1110 
203, 1, 0.001, 1000 0001 0000 0001 
203, 20, 0.02, 1000 0001 1000 0001 
203, 166, 0.166, 1111 1110 1111 1110 
203, 895, 0.895, 1111 1110 0111 1110 
203, 1253, 1.253, 1111 1110 1111 1110 
203, 2265, 2.265, 1111 1110 0111 1110 
203, 2683, 2.683, 1111 1110 1111 1110 
203, 7328, 7.328, 0000 0000 0000 0000 
203, 27808, 27.808, 1111 1110 1111 1110 
203, 28504, 28.504, 0111 1110 1111 1110 
203, 29527, 29.527, 1111 1110 1111 1110 
203, 29536, 29.536, 0111 1110 1111 1110 
203, 29545, 29.545, 1111 1110 1111 1110 
203, 30240, 30.24, 0000 0000 0000 0000 
204, 0, 0.0, 0111 1110 0111 1110 
204, 4096, 4.096, 0000 0000 0000 0000 
204, 7553, 7.553, 0111 1110 0111 1110 
204, 28326, 28.326, 0000 0000 0000 0000 
204, 32422, 32.422, 0111 1110 0111 1110 
204, 33056, 33.056, 0000 0000 0000 0000 
204, 41248, 41.248, 0111 1110 0111 1110 
204, 43729, 43.729, 0000 0000 0000 0000 
204, 60113, 60.113, 0111 1110 0111 1110 
204, 60360, 60.36, 0000 0000 0000 0000 
204, 68552, 68.552, 0111 1110 0111 1110 
204, 72156, 72.156, 0000 0000 0000 0000 
204, 80348, 80.348, 0111 1110 0111 1110 
204, 83312, 83.312, 0000 0000 0000 0000 
205, 0, 0.0, 1111 1110 0111 1110 
205, 1, 0.001, 1000 0001 0000 0001 
205, 20, 0.02, 1000 0001 1000 0001 
205, 140, 0.14, 1111 1110 1111 1110 
205, 467, 0.467, 1111 1110 0111 1110 
205, 799, 0.799, 1111 1110 1111 1110 
205, 1612, 1.612, 0111 1110 0111 1110 
205, 1876, 1.876, 1111 1110 1111 1110 
205, 2802, 2.802, 1111 1110 0111 1110 
205, 3022, 3.022, 1111 1110 1111 1110 
205, 3680, 3.68, 1111 1110 0111 1110 
205, 4074, 4.074, 1111 1110 1111 1110 
205, 25387, 25.387, 0000 0000 0000 0000 
205, 33579, 33.579, 1111 1110 1111 1110 
205, 33902, 33.902, 0000 0000 0000 0000 
205, 46190, 46.19, 1111 1110 1111 1110 
205, 50381, 50.381, 0000 0000 0000 0000 
206, 0, 0.0, 0111 1110 0111 1110 
206, 4096, 4.096, 0000 0000 0000 0000 
206, 15662, 15.662, 0111 1110 0111 1110 
206, 19932, 19.932, 0000 0000 0000 0000 
206, 24028, 24.028, 0111 1110 0111 1110 
206, 24740, 24.74, 0000 0000 0000 0000 
206, 28836, 28.836, 0111 1110 0111 1110 
206, 46081, 46.081, 0000 0000 0000 0000 
206, 58369, 58.369, 0111 1110 0111 1110 
206, 60432, 60.432, 0000 0000 0000 0000 
206, 64528, 64.528, 0111 1110 0111 1110 
206, 65870, 65.87, 0000 0000 0000 0000 
207, 0, 0.0, 1111 1110 0111 1110 
207, 1, 0.001, 1000 0001 0000 0001 
207, 19, 0.019, 1000 0001 1000 0001 
207, 143, 0.143, 1111 1110 1111 1110 
207, 515, 0.515, 1111 1110 0111 1110 
207, 3475, 3.475, 0000 0000 0000 0000 
207, 15763, 15.763, 1111 1110 1111 1110 
207, 18182, 18.182, 0000 0000 0000 0000 
207, 22278, 22.278, 1111 1110 1111 1110 
207, 25311, 25.311, 0000 0000 0000 0000 
207, 33503, 33.503, 1111 1110 1111 1110 
207, 33920, 33.92, 0000 0000 0000 0000 
207, 50304, 50.304, 1111 1110 1111 1110 
207, 54134, 54.134, 0000 0000 0000 0000 
207, 66422, 66.422, 1111 1110 1111 1110 
207, 66933, 66.933, 0000 0000 0000 0000 
207, 71029, 71.029, 1111 1110 1111 1110 
207, 73566, 73.566, 0000 0000 0000 0000 
208, 0, 0.0, 0111 1110 1111 1110 
208, 1, 0.001, 0000 0001 1000 0001 
208, 20, 0.02, 0000 0001 0000 0001 
208, 152, 0.152, 0111 1110 0111 1110 
208, 974, 0.974, 0111 1110 1111 1110 
208, 1812, 1.812, 0000 0000 0000 0000 
208, 10004, 10.004, 0111 1110 0111 1110 
208, 34509, 34.509, 0000 0000 0000 0000 
208, 46797, 46.797, 0111 1110 0111 1110 
208, 49395, 49.395, 0000 0000 0000 0000 
208, 61683, 61.683, 0111 1110 0111 1110 
208, 65229, 65.229, 0000 0000 0000 0000 
209, 0, 0.0, 1111 1110 0111 1110 
209, 1, 0.001, 1000 0001 0000 0001 
209, 20, 0.02, 1000 0001 1000 0001 
209, 607, 0.607, 1111 1110 1111 1110 
209, 2720, 2.72, 1111 1110 0111 1110 
209, 3072, 3.072, 1111 1110 1111 1110 
209, 3966, 3.966, 1111 1110 0111 1110 
209, 4097, 4.097, 1000 0001 0000 0001 
209, 4116, 4.116, 1000 0001 1000 0001 
209, 4320, 4.32, 1111 1110 1111 1110 
209, 29033, 29.033, 0000 0000 0000 0000 
209, 33129, 33.129, 1111 1110 1111 1110 
209, 39861, 39.861, 0000 0000 0000 0000 
209, 56245, 56.245, 1111 1110 1111 1110 
209, 56867, 56.867, 0000 0000 0000 0000 
209, 65059, 65.059, 1111 1110 1111 1110 
209, 66818, 66.818, 0000 0000 0000 0000 
210, 0, 0.0, 0111 1110 1111 1110 
210, 1, 0.001, 0000 0001 1000 0001 
210, 20, 0.02, 0000 0001 0000 0001 
210, 395, 0.395, 0111 1110 0111 1110 
210, 764, 0.764, 0111 1110 1111 1110 
210, 1101, 1.101, 0111 1110 0111 1110 
210, 1979, 1.979, 0111 1110 1111 1110 
210, 2281, 2.281, 0111 1110 0111 1110 
210, 3142, 3.142, 0111 1110 1111 1110 
210, 3358, 3.358, 0111 1110 0111 1110 
210, 28599, 28.599, 0000 0000 0000 0000 
210, 32695, 32.695, 0111 1110 0111 1110 
210, 33839, 33.839, 0000 0000 0000 0000 
210, 42031, 42.031, 0111 1110 0111 1110 
210, 44317, 44.317, 0000 0000 0000 0000 
211, 0, 0.0, 1111 1110 1111 1110 
211, 927, 0.927, 1000 0001 1000 0001 
211, 4030, 4.03, 1111 1110 1111 1110 
211, 4096, 4.096, 0000 0000 0000 0000 
212, 0, 0.0, 0111 1110 1111 1110 
212, 1, 0.001, 0000 0001 1000 0001 
212, 36, 0.036, 0000 0001 0000 0001 
212, 142, 0.142, 0111 1110 0111 1110 
212, 2256, 2.256, 0111 1110 1111 1110 
212, 2686, 2.686, 0111 1110 0111 1110 
212, 3790, 3.79, 0111 1110 1111 1110 
212, 4097, 4.097, 0000 0001 1000 0001 
212, 4132, 4.132, 0000 0001 0000 0001 
212, 4215, 4.215, 0111 1110 0111 1110 
212, 17548, 17.548, 0000 0000 0000 0000 
212, 21644, 21.644, 0111 1110 0111 1110 
212, 22083, 22.083, 0000 0000 0000 0000 
212, 34371, 34.371, 0111 1110 0111 1110 
212, 37253, 37.253, 0000 0000 0000 0000 
213, 0, 0.0, 1111 1110 0111 1110 
213, 1, 0.001, 1000 0001 0000 0001 
213, 20, 0.02, 1000 0001 1000 0001 
