missed packet number, sample offset, latency (ms), sample
-614, 2223, 2.223, 0111 1110 1111 1110
-614, 3145, 3.145, 0111 1110 0111 1110
-614, 3325, 3.325, 0111 1110 1111 1110
-614, 3842, 3.842, 0111 1110 0111 1110
-614, 4097, 4.097, 0000 0001 0000 0001
-614, 4117, 4.117, 0000 0001 1000 0001
-614, 4183, 4.183, 0111 1110 1111 1110
-615, 0, 0.0, 0111 1110 1111 1110
-615, 1, 0.001, 0000 0001 1000 0001
-615, 34, 0.034, 0000 0001 0000 0001
-615, 91, 0.091, 0111 1110 0111 1110
-615, 347, 0.347, 0111 1110 1111 1110
-615, 685, 0.685, 0111 1110 0111 1110
-615, 1339, 1.339, 0111 1110 1111 1110
-615, 1608, 1.608, 0111 1110 0111 1110
-615, 2352, 2.352, 0111 1110 1111 1110
-615, 2555, 2.555, 0111 1110 0111 1110
-615, 3231, 3.231, 0111 1110 1111 1110
-615, 3392, 3.392, 0111 1110 0111 1110
-615, 3936, 3.936, 0111 1110 1111 1110
-615, 4097, 4.097, 0000 0001 1000 0001
-615, 4130, 4.13, 0000 0001 0000 0001
-615, 4187, 4.187, 0111 1110 0111 1110
-832, 0, 0.0, 0000 0001 0000 0001
-832, 20, 0.02, 0000 0001 1000 0001
-832, 114, 0.114, 0111 1110 1111 1110
-832, 453, 0.453, 0111 1110 0111 1110
-832, 785, 0.785, 0111 1110 1111 1110
-832, 2241, 2.241, 0111 1110 0111 1110
-832, 2510, 2.51, 0111 1110 1111 1110
-832, 3372, 3.372, 0111 1110 0111 1110
-832, 3528, 3.528, 0111 1110 1111 1110
-832, 4025, 4.025, 0111 1110 0111 1110
-832, 4096, 4.096, 0000 0001 0000 0001
-832, 4116, 4.116, 0000 0001 1000 0001
-832, 4210, 4.21, 0111 1110 1111 1110
-874, 0, 0.0, 1111 1110 1111 1110
-874, 1, 0.001, 1000 0001 1000 0001
-874, 21, 0.021, 1000 0001 0000 0001
-874, 69, 0.069, 1111 1110 0111 1110
-874, 305, 0.305, 1111 1110 1111 1110
-874, 635, 0.635, 1111 1110 0111 1110
-874, 1350, 1.35, 1111 1110 1111 1110
-874, 1663, 1.663, 1111 1110 0111 1110
-874, 2441, 2.441, 1111 1110 1111 1110
