Time, Mote 1 Rx Signal, Mote 2 Rx Signal
6.370840, 0,0
6.373280, 0,0
6.375720, 0,0
6.378160, 0,0
6.380600, 0,0
6.383040, 0,0
6.385480, 0,0
6.387920, 0,0
6.390360, 0,0
6.392800, 0,0
6.395240, 0,0
6.397680, 0,0
6.400120, 0,0
6.402560, 0,0
6.405000, 0,0
6.407440, 0,0
6.409880, 0,0
6.412320, 0,0
6.414760, 0,0
6.417200, 0,0
6.419640, 0,0
6.422080, 0,0
6.424520, 0,0
6.426960, 0,0
6.429400, 0,0
6.431840, 0,0
6.434280, 0,0
6.436720, 0,0
6.439160, 0,0
6.441600, 0,0
6.444040, 0,0
6.446480, 0,0
6.448920, 0,0
6.451360, 0,0
6.453800, 0,0
6.456240, 0,0
6.458680, 0,0
6.461120, 0,0
6.463560, 0,0
6.466000, 0,0
6.468440, 0,0
6.470880, 0,0
6.473320, 0,0
6.475760, 0,0
6.478200, 0,0
6.480640, 0,0
6.483080, 0,0
6.485520, 0,0
6.487960, 0,0
6.490400, 0,0
6.492840, 0,0
6.495280, 0,0
6.497720, 0,0
6.500160, 0,0
6.502600, 0,0
6.505040, 0,0
6.507480, 0,0
6.509920, 0,0
6.512360, 0,0
6.514800, 0,0
6.517240, 0,0
6.519680, 0,0
6.522120, 0,0
6.524560, 0,0
6.527000, 0,0
6.529440, 0,0
6.531880, 0,0
6.534320, 0,0
6.536760, 0,0
6.539200, 0,0
6.541640, 0,0
6.544080, 0,0
6.546520, 0,0
6.548960, 0,0
6.551400, 0,0
6.553840, 0,0
6.556280, 0,0
6.558720, 0,0
6.561160, 0,0
6.563600, 0,0
6.566040, 0,0
6.568480, 0,0
6.570920, 0,0
6.573360, 0,0
6.575800, 0,0
6.578240, 0,0
6.580680, 0,0
6.583120, 0,0
6.585560, 0,0
6.588000, 0,0
6.590440, 0,0
6.592880, 0,0
6.595320, 0,0
6.597760, 0,0
6.600200, 0,0
6.602640, 0,0
6.605080, 0,0
6.607520, 0,0
6.609960, 0,0
6.612400, 0,0
6.614840, 0,0
6.617280, 0,0
6.619720, 0,0
6.622160, 0,0
6.624600, 0,0
6.627040, 0,0
6.629480, 0,0
6.631920, 0,0
6.634360, 0,0
6.636800, 0,0
6.639240, 0,0
6.641680, 0,0
6.644120, 0,0
6.646560, 0,0
6.649000, 0,0
6.651440, 0,0
6.653880, 0,0
6.656320, 0,0
6.658760, 0,0
6.661200, 0,0
6.663640, 0,0
6.666080, 0,0
6.668520, 0,0
6.670960, 0,0
6.673400, 0,0
6.675840, 0,0
6.678280, 0,0
6.680720, 0,0
6.683160, 0,0
6.685600, 0,0
6.688040, 0,0
6.690480, 0,0
6.692920, 0,0
6.695360, 0,0
6.697800, 0,0
6.700240, 0,0
6.702680, 0,0
6.705120, 0,0
6.707560, 0,0
6.710000, 0,0
6.712440, 0,0
6.714880, 0,0
6.717320, 0,0
6.719760, 0,0
6.722200, 0,0
6.724640, 0,0
6.727080, 0,0
6.729520, 0,0
6.731960, 0,0
6.734400, 0,0
6.736840, 0,0
6.739280, 0,0
6.741720, 0,0
6.744160, 0,0
6.746600, 0,0
6.749040, 0,0
6.751480, 0,0
6.753920, 0,0
6.756360, 0,0
6.758800, 0,0
6.761240, 0,0
6.763680, 0,0
6.766120, 0,0
6.768560, 0,0
6.771000, 0,0
6.773440, 0,0
6.775880, 0,0
6.778320, 0,0
6.780760, 0,0
6.783200, 0,0
6.785640, 0,0
6.788080, 0,0
6.790520, 0,0
6.792960, 0,0
6.795400, 0,0
6.797840, 0,0
6.800280, 0,0
6.802720, 0,0
6.805160, 0,0
6.807600, 0,0
6.810040, 0,0
6.812480, 0,0
6.814920, 0,0
6.817360, 0,0
6.819800, 0,0
6.822240, 0,0
6.824680, 0,0
6.827120, 0,0
6.829560, 0,0
6.832000, 0,0
6.834440, 0,0
6.836880, 0,0
6.839320, 0,0
6.841760, 0,0
6.844200, 0,0
6.846640, 0,0
6.849080, 0,0
6.851520, 0,0
6.853960, 0,0
6.856400, 0,0
6.858840, 0,0
6.861280, 0,0
6.863720, 0,0
6.866160, 0,0
6.868600, 0,0
6.871040, 0,0
6.873480, 0,0
6.875920, 0,0
6.878360, 0,0
6.880800, 0,0
6.883240, 0,0
6.885680, 0,0
6.888120, 0,0
6.890560, 0,0
6.893000, 0,0
6.895440, 0,0
6.897880, 0,0
6.900320, 0,0
6.902760, 0,0
6.905200, 0,0
6.907640, 0,0
6.910080, 0,0
6.912520, 0,0
6.914960, 0,0
6.917400, 0,0
6.919840, 0,0
6.922280, 0,0
6.924720, 0,0
